words,obs.freq.1,obs.freq.2,exp.freq.1,exp.freq.2,pref.occur,delta.p.constr1.cues.word,delta.p.word.cues.constr1,coll.strength
mark,1,6.581319005,0.45,7.14,X.BNC_prog_count.,0,0.07,0.55
mean,2,449.3312324,26.5,424.83,X.BNC_non_prog.,-0.01,-0.05,40.24
meet,3,94.17533029,5.71,91.47,X.BNC_non_prog.,0,-0.03,1.64
mention,1,24.35820495,1.49,23.87,X.BNC_non_prog.,0,-0.02,0.19
mess,3,4.618665404,0.45,7.17,X.BNC_prog_count.,0,0.34,7.36
message,2,5.506626206,0.44,7.07,X.BNC_prog_count.,0,0.21,3.3
milk,1,0.083045572,0.06,1.02,X.BNC_prog_count.,0,0.86,5.09
miss,3,51.4883962,3.2,51.29,X.BNC_non_prog.,0,0,0.01
mix,0,9.149867764,0.54,8.61,X.BNC_non_prog.,0,-0.06,1.11
moan,4,0.406875086,0.26,4.15,X.BNC_prog_count.,0,0.85,20.02
mock,1,0.344470365,0.08,1.27,X.BNC_prog_count.,0,0.69,4.18
move,17,127.9040283,8.51,136.4,X.BNC_prog_count.,0,0.06,7.11
munch,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
notice,1,33.9935759,2.05,32.94,X.BNC_non_prog.,0,-0.03,0.7
nourish,0,0.074692798,0,0.07,X.BNC_non_prog.,0,-0.06,0.01
observe,1,0.829973553,0.11,1.72,X.BNC_prog_count.,0,0.49,3.25
occur,1,2.996064697,0.23,3.76,X.BNC_prog_count.,0,0.19,1.54
offer,0,19.08400991,1.12,17.96,X.BNC_non_prog.,0,-0.06,2.31
operate,0,3.547907909,0.21,3.34,X.BNC_non_prog.,0,-0.06,0.43
organise,0,9.523331754,0.56,8.96,X.BNC_non_prog.,0,-0.06,1.15
overchange,0,0,0,0,no_preference,0,NA,0
overreact,0,0.112039197,0.01,0.11,X.BNC_non_prog.,0,-0.06,0.01
pack,2,8.419645331,0.61,9.81,X.BNC_prog_count.,0,0.13,2.17
paint,2,8.979841317,0.64,10.34,X.BNC_prog_count.,0,0.12,2
panic,3,1.145450293,0.24,3.9,X.BNC_prog_count.,0,0.67,12.26
park,2,11.66878205,0.8,12.87,X.BNC_prog_count.,0,0.09,1.37
participate,0,0.597542385,0.04,0.56,X.BNC_non_prog.,0,-0.06,0.07
party,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
pass,1,40.64123493,2.44,39.2,X.BNC_non_prog.,0,-0.03,1.16
pay,30,143.6234091,10.19,163.43,X.BNC_prog_count.,0.01,0.11,27.78
pedal,0,0.298771192,0.02,0.28,X.BNC_non_prog.,0,-0.06,0.04
perform,1,2.174443918,0.19,2.99,X.BNC_prog_count.,0,0.26,1.98
phone,1,21.10906823,1.3,20.81,X.BNC_non_prog.,0,-0.01,0.08
pick,10,75.56060019,5.02,80.54,X.BNC_prog_count.,0,0.06,4.14
pinch,0,2.128744745,0.12,2,X.BNC_non_prog.,0,-0.06,0.26
piss,1,13.04224604,0.82,13.22,X.BNC_prog_count.,0,0.01,0.04
pitch,1,1.240783942,0.13,2.11,X.BNC_prog_count.,0,0.39,2.74
place,0,5.04176387,0.3,4.75,X.BNC_non_prog.,0,-0.06,0.61
plan,12,8.689905067,1.21,19.48,X.BNC_prog_count.,0,0.52,40.98
plant,1,3.145450293,0.24,3.9,X.BNC_prog_count.,0,0.18,1.47
play,30,119.0121322,8.75,140.26,X.BNC_prog_count.,0.01,0.14,34.97
point,4,6.531684529,0.62,9.91,X.BNC_prog_count.,0,0.32,9.49
pollute,1,0,0.06,0.94,X.BNC_prog_count.,0,0.94,5.67
pop,2,16.56116032,1.09,17.47,X.BNC_prog_count.,0,0.05,0.66
pose,0,0.971006375,0.06,0.91,X.BNC_non_prog.,0,-0.06,0.12
post,0,9.672717351,0.57,9.1,X.BNC_non_prog.,0,-0.06,1.17
pour,3,4.35724061,0.43,6.93,X.BNC_prog_count.,0,0.35,7.59
practice,1,1.651594332,0.16,2.5,X.BNC_prog_count.,0,0.32,2.36
practise,1,4.079110269,0.3,4.78,X.BNC_prog_count.,0,0.14,1.12
pray,1,0.979359149,0.12,1.86,X.BNC_prog_count.,0,0.45,3.05
prepare,0,4.967071072,0.29,4.68,X.BNC_non_prog.,0,-0.06,0.6
present,1,2.697293505,0.22,3.48,X.BNC_prog_count.,0,0.21,1.68
press,1,11.21227249,0.72,11.5,X.BNC_prog_count.,0,0.02,0.11
pretend,2,7.037828567,0.53,8.51,X.BNC_prog_count.,0,0.16,2.64
print,0,10.75576292,0.63,10.12,X.BNC_non_prog.,0,-0.06,1.3
produce,1,6.469279807,0.44,7.03,X.BNC_prog_count.,0,0.08,0.57
promote,1,1.539555135,0.15,2.39,X.BNC_prog_count.,0,0.34,2.45
protest,2,0,0.12,1.88,X.BNC_prog_count.,0,0.94,11.34
pull,6,36.01469892,2.47,39.55,X.BNC_prog_count.,0,0.08,3.93
pump,0,2.427515937,0.14,2.28,X.BNC_non_prog.,0,-0.06,0.29
purse,0,0,0,0,no_preference,0,NA,0
push,8,15.86434898,1.4,22.46,X.BNC_prog_count.,0,0.28,16.85
put,27,492.3016786,30.49,488.81,X.BNC_non_prog.,0,-0.01,0.44
question,2,3.079110269,0.3,4.78,X.BNC_prog_count.,0,0.34,4.9
queue,2,0,0.12,1.88,X.BNC_prog_count.,0,0.94,11.34
race,2,0,0.12,1.88,X.BNC_prog_count.,0,0.94,11.34
rain,8,2.158220538,0.6,9.56,X.BNC_prog_count.,0,0.73,35.13
rap,1,0.904666351,0.11,1.79,X.BNC_prog_count.,0,0.47,3.14
